STREET NAME	LOCATION	AADT 2009	AADT 2010	AADT 2011	AADT 2012	AADT 2013
STRINGTOWN ROAD E	E/O SR 7375		375		425	
SUMNER-BUCKLEY HW	W/O 192 AV E				10325	
SUMNER-BUCKLEY HW	E/O 214 AV E		3250		3825	
SUMNER-BUCKLEY HW	W/O 214 AV E		6375	6325	6500	
SUMNER-BUCKLEY HW	W/O 246 AV E		2800		3000	
SUMNER-BUCKLEY HW	NW/O MUNDY LOSS RD E		3225		3050	
SUMNER-BUCKLEY HW	E/O MUNDY LOSS RD E		2250		1975	
SUMNER TAPPS HWY	NE/O WTAPPS-FORCANYON		10825	10050	11700	
SUMNER TAPPS HWY	SW/O WTAPPS-FORCANYON	10975	10950		10950	
SUMNER TAPPS HWY	SW/O SO TAPPS DR E	10000	10250		10075	
SUMNER TAPPS HWY	S/O 16 ST E		13000	10375	11250	
SUMNER TAPPS HWY	N/O 16 ST E		7500		7500	
SUNRISE BLVD  E	E/O SR 161		13250		14250	
SUNRISE BLVD  E	E/O 122 AV E		4725		4800	
SUNRISE BLVD  E	W/O 122 AV E		11125		10500	
SUNRISE PARKWAY E	E/O 122 AV E		4950		4975	5150
TACOMA MALL BLVD	N/O 84 ST S	13800		14550		14325
THOMAS ROAD KPN	E/O CRAMER RD KPN	225		250		300
TIEDEMAN ROAD KPN	S/O HERRON RD KPN	1250		1275		1225
TISCH ROAD S	E/O 72 AV S	400		450		425
TULE LAKE ROAD E	E/O A ST S					
TULE LAKE ROAD S	W/O A ST S	2300		2250		2275
TULE LAKE ROAD S	W/O C ST S	5125		5375		5050
TULE LAKE ROAD S	E/O C ST S	5250		3975		4250
TULE LAKE ROAD S	E/O AINSWORTH AV E	5725		5100		5250
TULE LAKE ROAD S	E/O SPANAWAY LP RD S	4925	4675	5025		4200
VALLEY AVENUE E	SE/O FREEMAN RD E	15075	16300	15625	16025	16450
VALLEY AVENUE E	W/O MILWAUKEE AV E	8400	7700	7150	9125	8875
VALLEY AVENUE E	E/O MILWAUKEE AV E		6025	6650	6300	6475
VICKERY AVENUE E	S/O 72 ST E	1100	1050	1200	900	
VICKERY AVENUE E	N/O 72 ST E	1500	1650	1475	1325	
VICKERY AVENUE E	N/O 96 ST E		1750		1225	
VICKERY AVENUE E	S/O 96 ST E		1575		1275	
VICKERY AVENUE E	N/O 112 ST E	2225		1950		1875
VICKERY AVENUE E	S/O 112 ST E	1975		1700		2000
VILLA BEACH RD AI	S/O YOMAN RD AI		150		125	
WALLER ROAD E	S/O PIONEER WAY		6850		6000	
WALLER ROAD E	N/O 72 ST E		7750		7600	
WALLER ROAD E	S/O 72 ST E		8200		8850	
WALLER ROAD E	S/O 80 ST E		8100		7550	
WALLER ROAD E	N/O 96 ST E		8600		7925	
WALLER ROAD E	S/O 96 ST E		8225		7450	
WALLER ROAD E	N/O 112 ST E	7775		8025		8425
WALLER ROAD E	S/O 112 ST E	8350		8475		8500
WALLER ROAD E	N/O 128 ST E	7750		8075		8225
WALLER ROAD E	N/O BROOKDALE RD E	6800	6150	6375	7625	6625
WALLER ROAD E	S/O BROOKDALE RD E	5875		6550		7100
WALLER ROAD E	S/O 152 ST E	5125		6275		6000
WALLER ROAD E	S/O MILITARY RD E	2800		2625		4050
WARREN DRIVE NW	W/O FOX ISLAND BRIDGE	1350	1550		1250	
